Source,Target
Iman Raad,1979
João Vasco Paiva,1979
"Kamarstudios ",1979
Nil Yalter,1979
Panos Tsagaris,1979
Pascal Hachem,1979
Raed Yassin,1979
Safeya Binzagr,1979
Shahriar Ahmadi,1979
Sheela Gowda,1979
Shirin Neshat,1979
Wafa Hourani,1979
Mona Hatoum,1979-1981
Ayman Ramadan,1980
"Charwei Tsai ",1980
Faisal Samra,1980
Fateh Moudarres,1980
Haris Epaminonda,1980
Hassan Sharif,1980
Hesam Rahmanian,1980
Işıl Eğrikavuk,1980
Kassab Bachi,1980
Liliana Porter,1980
Mohamad Rahimi,1980
Noha Al-Sharif,1980
Saba Innab,1980
Shantia Zakerameli,1980
Simone Fattal,1980
Tarek Atoui,1980
Tarek Halaby,1980
Abdulhalim Radwi,1980-1992
Sheela Gowda,1980-82
Ammar Al Attar,1981
Eiman Elgibreen,1981
Eugenio Dittborn,1981
Fatima Al Qadiri,1981
Graziella Rizkallah Toufic,1981
Hayv Kahraman,1981
Kazuyo Sejima,1981
Moayad Hakim,1981
Mohamed El Mahdaoui,1981
Morteza Ahmadvand,1981
Nora Almazrooa,1981
Pouya Parsamagham,1981
Raeda Ashour,1981
Rania Moudaress,1981
Romeo Castellucci,1981
Simohammed Fettaka,1981
Talal Al-Zeid,1981
Yazan Khalili,1981
Abdelfattah Kilito,1982
Ahmad Konash,1982
David Douglas Duncan,1982
Eduard Puterbrot,1982
Fouad Elkoury,1982
Jonathas de Andrade,1982
Lamya Gargash,1982
Magdi Mostafa,1982
Maha Al-Khalawi,1982
Mohsen Ahmadvand,1982
Monika Börgmann,1982
Omar Khayyam,1982
Raafat Ishak,1982
Saloua Raouda Choucair,1982
Salwa Aleryani,1982
Shirin Neshat,1982
Simon Fujiwara,1982
Walid Siti,1982
Ante Zaninović,1983
Chai Siri,1983
Doug Henders,1983
Eugenio Dittborn,1983
Hu Xiangqian,1983
Meriç Algün Ringborg,1983
Mohamed Abdelkarim,1983
Noura Bouzo,1983
Shafic Abboud,1983
Shahrzad Changalvaee,1983
Taus Makhacheva,1983
Yang Shaobin,1983
Yousef Jaha,1983
YOVO! YOVO!,1983
Ana Vidigal,1984
Eduard Puterbrot,1984
Elnaz Farajollahi,1984
Eugenio Dittborn,1984
Farhad Moshiri,1984
Fouad Elkoury,1984
Fumito Urabe,1984
Hassan Sharif,1984
Nasir Nasrallah,1984
Nasser Al-Salem,1984
Nastaran Safaei,1984
Niyaz-Azadikhah,1984
Ramtin Zad,1984
Rasheed Araeen,1984
Saeed Salem,1984
Shiro Takatani,1984
Walid Siti,1984
YOVO! YOVO!,1984
Sheela Gowda,1984-86
Abdullah Al-Othman,1985
Agnes Janich,1985
Ali Al-Tokhais,1985
"Basir Mahmood ",1985
Eyad Maghazil,1985
Hasan and Husain Essop,1985
Jenine Sharabi,1985
Liliana Porter,1985
Reem Al Ghaith,1985
Setareh Shahbazi,1985
"Sille Storihle ",1985
Yazid Oulab,1985
Yu-ichi Inoue,1985
Jayce Salloum,1985-2005
Jayce Salloum,1985-2009
Fred Eerdekens,1985-2010
Ana Vidigal,1985-87
Alfredo Aquilizan,1986
Alfredo Jaar,1986
Fateh Moudarres,1986
Fred Eerdekens,1986
Isabel Aquilizan,1986
Marwa Rustam,1986
Monir Shahroudy Farmanfarmaian,1986
YOVO! YOVO!,1986
Zhang Hui,1986
Zineb Sedira,1986
Abbas Kiarostami,1987
Adele Ne Jame,1987
Alfredo Jaar,1987
Elizabeth Peyton,1987
Hiroyuki Masuyama,1987
Kazuyo Sejima,1987
Rasheed Araeen,1987
Sara Naim,1987
Seigen Ono,1987
Valeska Soares,1987
Wang Jianwei,1987
Yusef A. Lateef,1987
Abdulhalim Radwi,1988
Ahmed Tayseer Badrah,1988
Fred Eerdekens,1988
Halla Bint Khalid,1988
Hu Xiangqian,1988
Huda Beydoun,1988
Khaled Jarrar,1988
Lani Maestro,1988
"Lúcia Koch ",1988
Miki Kasahara,1988
Mohammed Makki,1988
Rula Halawani,1988
Shiro Takatani,1988
Soraya Darwish,1988
Yazid Oulab,1988
Zahra Bu Ali,1988
Abdelfattah Kilito,1989
Adele Ne Jame,1989
Ala Ebtekar,1989
Alfredo Jaar,1989
Anawana Haloba,1989
Ayreen Anastas,1989
Derek Ogbourne,1989
Jalal Toufic,1989
