Source,Target
Doa Aly,Aleya Hamza
Edward Said,Al Feneiq
Amino Belyamani,Alfred Ladzekpo
Isabel Aquilizan,Alfredo Juan
Isabel Aquilizan,Alfredo Juan Aquilizan
Ninar Esber,Al Funun
Rula Halawani,Al Funun
Hani Alireza,Al-Ghalayini
Eiman Elgibreen,Al Hada
Sulayman Al Bassam,Al-Hamlet
Jawad Al Malhi,Al Hoash
Sama Alshaibi,Al Hoash
Samira Badran,Al Hoash
Hiroyuki Masuyama,Alia Art Company
Mai Al Ibrashy,al-Ibrashy
Mai Al Ibrashy,Al-Ibrashy
Gilbert Hage,Alice Mogabgab
Huda Lutfi,al-Imam
Sulayman Al Bassam,al Islamiyyah
Mahdi Al Jeraibi,Al Jeraibi
Mahdi Al Jeraibi,Al-Jeraibi
Jamal Al Kebasi,Al Jubail
Khaled Hourani,Al Karmel Magazine
Abdullah Al-Mazrook,Al-Khobar
Abdullah Hammas,Al-Khobar
Ahmad Konash,Al-Khobar
Badriya Nasser,Al-Khobar
EFFAT ABDULLAH FADAG,Al-Khobar
Ghada Al-Hassan,Al-Khobar
Hussein Al-Mohasen,Al-Khobar
EFFAT ABDULLAH FADAG,Al-Khober
Taha Al-Sabban,Al Khozama
Ahmed Felemban,Al-Khuzaim
Nasser Al-Salem,al Kora University
Safeya Binzagr,Al-Mahmal
Jawad Al Malhi,Al Malhi
Waheeda Malullah,Al Manama
Ali Al-Ruzaiza,Al Mansouria
Mahdi Al Jeraibi,Al Mansouria
Faisal Samra,Al-Mansouria
Shadia Alem,Al-Mansouria
Taha Al-Sabban,Al-Mansouria
Abdullah Hammas,Al Mansouria Foundation
Taha Al-Sabban,Al Mansouria Foundation
Shadia Alem,Al-Mansouria Foundation
Khaled Hourani,Al Matal
Saud Al-Duribi,Al-Miftaha
Ahmad Angawi,Al Mizan
Abdullah Al-Ogaili,Al Mohtaraf
Kameel Hawa,Al-Mohtaraf
Marwan Rechmaoui,Al-Murr
Taysir Batniji,Al-Najah University
Nasser Al-Salem,Al Nasser
Susan Hefuna,Al Nitaq
Jawad Al Malhi,Al Qattan Foundation
Mohammed Kazem,Al Rayat Music School
Waheeda Malullah,Al Riwaq
Fayçal Baghriche,Al Riwaq Art Space
Mounira Al Solh,Al Riwaq Art Space
Abdullah Al-Ogaili,Al Salam
Mounir Al-Shaarani,Al Salamiya
Ahmed Felemban,Al-Saquabi
Baseem Al Sharqi,Al Sharqi
Halla Bint Khalid,Al Shuyook
Mounira Al Solh,Al Solh
Doris Bittar,Alternative Museum
Noha Faoud Al-Ghalib,Al-Thani
Ali Al-Ruzaiza,Al-Washim
Mustapha Benfodil,Al-Watan
Ana Vidigal,Amadeo de Souza-
Ziad Abillama,Amherst College
Ahmad Amin Nazar,Amin Nazar
Youssef Abdelkė,Amman Museum of Modern Art
Başak Ertür,Amnesty International and International
Lamya Gargash,Am Rein
Abdelkader Benchamma,AND Galeria
Meriç Algün Ringborg,Andreas Huber
Baseem Al Sharqi,Andy Warhol
Andreas Gursky,Andy Warhol Museum
"Angelica Mesiti ",Angelica Mesiti
Alfredo Aquilizan,Anglia Polytechnic University
Isabel Aquilizan,Anglia Polytechnic University
"Kamarstudios ",Aniko Boehler
Saloua Raouda Choucair,Ann Coxon
Meriç Algün Ringborg,Anne Barlow
Bahar Behbahani,Annual International
Rasheed Araeen,Anthony Caro
Doa Aly,Antje Weitzel
Lara Favaretto,Antonio Ratti
Marcel Odenbach,Anton Kern Gallery
Eungie Joo,Anton Vidokle
Yu-ichi Inoue,Aoyama Normal School
Eduard Puterbrot,AP
Sophie Ernst,Apeejay Media
Youssef Nabil,Aperture Foundation (New York)
Walid Raad,Arab
Youssef Abdelkė,Arab
Doris Bittar,"Arab "
Akram Zaatari,Arab Image Foundation
Lara Baladi,Arab Image Foundation
Setareh Shahbazi,Arab Image Foundation
Walid Raad,Arab Image Foundation
Ahmed Alsoudani,Arab Museum of Modern Art
Wafaa Bilal,Arab Museum of Modern Art
Zineb Sedira,Arab Museum of Modern Art
Doris Bittar,Arab National Museum
Youssef Abdelkė,Arab World Institute
Eyal Weizman,Architectural Association
Sophia Al Maria,Architectural Association School of Architecture
Eyal Weizman,Architecture
Mohamed Abdelkarim,Architecture
Yazan Khalili,Architecture
Samir Sayegh,Architecture and Graphic Design
Saba Innab,Architecture- Jordan University of Science
Arefeh Riahi,Architecture University
Enrique Ramirez,Arcos Institute
Ayreen Anastas,Argos
Doa Aly,Argos
Jalal Toufic,Argos
Melik Ohanian,Argos
Wafaa Bilal,Arizona State University
Mounira Al Solh,Arizona State University Art Museum
Larissa Sansour,Arken Museum
Thilo Frank,ARKEN Museum
Cesar Meneghetti,Armando Álvares Penteado Foundation
Sherin Guirguis,Armory Center
Doug Henders,Army
Hala Elkoussy,Arnolfini
Doa Aly,Arnolfini Museum
Sean Gullette,Aronofsky
Ryoji Ikeda,Ars Electronica Center
Maha Maamoun,ART
Elena Kovylina,Art Academy
Jenine Sharabi,Art and Design
Laurent Grasso,Art and Design
Nevin Aladag,Art and Design
Wafaa Bilal,Art and Design
Yuko Hasegawa,Art and Design
Elena Kovylina,Art and Media
Tintin Wulia,Art and Media
Agnes Janich,Art Centre
Waheeda Malullah,Art College
Fatima Al Qadiri,Art Dubai
Idris Khan,Art Dubai
Iman Issa,Art Dubai
Murtaza Vali,Art Dubai
Nadia Ayari,Art Dubai
Saddiek Mohammed Wasil,Art Dubai
Moayad Hakim,Art Education
Jananne Al-Ani,Arthur M. Sackler
Minouk Lim,Arthur M. Sackler
Pouran-Jinchi,Arthur M. Sackler
"Basim Magdy ",Art in General
Meriç Algün Ringborg,Art in General
Mona Marzouk,Art in General
"Apichatpong Weerasethakul ",Art Institute of Chicago
Işıl Eğrikavuk,Art Institute of Chicago
Shirin Neshat,Art Institute of Chicago
Hayv Kahraman,Artist Project
Fred Eerdekens,Arts & Design Faculty
Ahmed El Attar,Arts and Cultural Management
Shiro Takatani,Arts and Media
Heman Chong,Arts Centre
Samah Hijawi,Art School Palestine
David Spriggs,Arts Council Montreal
Rasheed Araeen,Arts Council of England
Julia Meltzer,Arts Fellowship Fund
Meriç Algün Ringborg,Art Society
Dirk Fleischmann,Artsonje Center
Jun Yang,Artsonje Center
Minouk Lim,Artsonje Center
"Angelica Mesiti ",Artspace
Steve Reinke,Art Theory & Practice
Shahriar Ahmadi,Art University
Javad Azimi,Art University of Tehran
Setareh Shahbazi,Asar Gallery
Liliana Porter,Ashgate Press
Wang Jianwei,Asia-Australia Arts Center
Ala Ebtekar,Asian
Yuko Hasegawa,Asian Art Council
Ala Ebtekar,Asian Art Museum
Pouran-Jinchi,Asian Art Museum
"Charwei Tsai ",Asian Art Museum of San Francisco
Firoz Mahmud,Asian Cultural Council
Yang Fudong,Asia Society
Ala Ebtekar,Asia Society Museum
Hamra Abbas,Asia Society Museum
Abdulhalim Radwi,Association of Arab
Saddek Wasil,Association of Culture
Alfredo Aquilizan,Assumption College
Isabel Aquilizan,Assumption College
Saloua Raouda Choucair,Atelier d’Art Abstrait
Hatem Imam,Atfal Ahdath
Vartan Avakian,Atfal Ahdath
Saddiek Mohammed Wasil,Athr Gallery
Walid Raad,Atlas Group
Ahmed Alsoudani,Auction
"Angelica Mesiti ",Australian Centre
Omar Rajeh,Autumn Dance
Raffie Davtian,Avant-garde Folk Music Club
Youssef Abdelkė,Ayyam Gallery
Niyaz-Azadikhah,Azadikhah
Ahmad Morshedloo,Azad University
Aneh Mohammad Tatari,Azad University
Elnaz Farajollahi,Azad University
Farshid Maleki,Azad University
Golnaz Fathi,Azad University
Omar Khayyam,Azad University
Peyman Hooshmandzadeh,Azad University
Simin Keramati,Azad University
Abdulhalim Radwi,BA
Abdullah Al Saadi,BA
Abdullah Al-Mazrook,BA
Abdulmajid Ali Al-Jarouf,BA
Ahmed El Attar,BA
Arefeh Riahi,BA
Elnaz Farajollahi,BA
Hala Elkoussy,BA
"Haroon Mirza ",BA
Jane & Louise Wilson,BA
Jenine Sharabi,BA
Jessica Mein,BA
Luz Maria Bedoya,BA
Maha Al-Khalawi,BA
Maha Malluh,BA
Mariam Ghani,BA
Mark Lombardi,BA
Meriç Algün Ringborg,BA
Mohamed Abdelkarim,BA
Mohsen Ahmadvand,BA
Mostafa Darehbaghi,BA
Neda Razavipour,BA
Nika Oblak,BA
Nikolaj Bendix,BA
Noha Al-Sharif,BA
Noura Bouzo,BA
Peyman Hooshmandzadeh,BA
Primož Novak,BA
Raana-Farnoud,BA
Raeda Ashour,BA
Ramtin Zad,BA
Salwa Aleryani,BA
Samiah Khashoggi,BA
Sara Naim,BA
Shahriar Ahmadi,BA
Shahrzad Changalvaee,BA
Shantia Zakerameli,BA
Sherin Guirguis,BA
Tagreed Al-Bagshi,BA
Walid Siti,BA
Yazan Khalili,BA
Yousef Jaha,BA
Yusef A. Lateef,Babatunde
Hamra Abbas,Babusch Project
Sophie Ernst,Babush Project
Rabih Mroué,BAC
Dia Al-Azzawi,Baghdad University
Meriç Algün Ringborg,Bahçesehir University
Zaman M Jassim,Bahrain Art Society
Jumana Emil Abboud,Bahrain National Museum
Waheeda Malullah,Bahrain University
Maalem Abdelkébir Merchane,Bakbou Sam
Saeed Salem,Balfaqih Visual Communication Consultants
Jesper Just,BALTIC Centre
Mona Marzouk,BALTIC Centre
Raqs Media Collective,BALTIC Centre
Youssef Nabil,BALTIC Centre
Khaled Jarrar,Barbican Centre
Reza Aramesh,Barbican Centre
Ryoji Ikeda,Barbican Centre
Jane & Louise Wilson,Barclays
Edward Said,Bard
Luc Sante,Bard College
Nida Sinnokrot,Bard College
Oraib Toukan,Bard College
Sharif Waked,Barjeel Art Foundation
Walid Siti,Barjeel Art Foundation
Manal Al Dowayan,Barjeel Foundation
Yusef A. Lateef,Barry Harris
David Spriggs,Bauhaus University
Zena el Khalil,BBC
Alfredo Aquilizan,BCA
Isabel Aquilizan,BCA
"Basir Mahmood ",Beaconhouse National University
Sophie Ernst,Beaconhouse National University
Ayreen Anastas,Beaver Group
Khaled Akil,Beirut Arab University
Ayreen Anastas,Beirut Art Center
Doa Aly,Beirut Art Center
Fouad Elkoury,Beirut Art Center
Graziella Rizkallah Toufic,Beirut Art Center
Jalal Toufic,Beirut Art Center
Jananne Al-Ani,Beirut Art Center
Lamia Joreige,Beirut Art Center
Melik Ohanian,Beirut Art Center
Rabih Mroué,Beirut Art Center
Sirine Fattouh,Beirut Art Center
Fouad Elkoury,Beirut-based Arab Image Foundation
Fouad Elkoury,Beirut City Centre
Saloua Raouda Choucair,Beirut Exhibition Center
Ahmad Ghossein,Beirut International
Basma Al Sharif,Beirut International
Omar Rajeh,Beirut International
Naeem Mohaiemen,Ben Davis
Yuko Hasegawa,Benesse Corporation
Jem Cohen,Benjamin Smoke
Lani Maestro,Beppu International
Judith Barry,Berardo Museum
Jane & Louise Wilson,Bergen Art Museum
Ala Ebtekar,Berkeley Art Museum
Tintin Wulia,Berklee College of Music
Keith Shiri,Berlinale World Cinema Fund
Artur Żmijewski,Berlin Biennial
Burak Arikan,Berlin Biennial
Haris Epaminonda,Berlin Biennial
Khaled Jarrar,Berlin Biennial
Mohamed Bourouissa,Berlin Biennial
Thomas Werner,Berlin Biennial
Žilnik Želimir,Berlin Film Festival
Keith Shiri,Berlin International
Mario Rizzi,Berlin International
Ayreen Anastas,Berlin Technical University
Leila Pazooki,Berlin University of Arts
Burak Arikan,Bethanien
Doa Aly,Bethanien
Haris Epaminonda,Bethanien
Iman Issa,Bethanien
Sherif El Azma,Bethanien
Meriç Algün Ringborg,Bettina Pehrsson
Khalil Rabah,Bezalel Academy
Raeda Saadeh,Bezalel Academy of Arts and Design
Kassab Bachi,Bibliothèque Nationale de France
Dirk Fleischmann,Bielefelder Kunstverein
Iman Issa,Bielefelder Kunstverein
Shafic Abboud,Biennale of Paris
Alfredo Aquilizan,Biennale of Sydney
Anawana Haloba,Biennale of Sydney
Hamra Abbas,Biennale of Sydney
Isabel Aquilizan,Biennale of Sydney
Jananne Al-Ani,Biennale of Sydney
Jayce Salloum,Biennale of Sydney
Meriç Algün Ringborg,Biennale of Sydney
Mona Hatoum,Biennale of Sydney
Raeda Saadeh,Biennale of Sydney
Adele Ne Jame,Biennial
Alberto Duman,Biennial
Basma Al Sharif,Biennial
Doa Aly,Biennial
Elena Kovylina,Biennial
Fateh Moudarres,Biennial
Firoz Mahmud,Biennial
Hamra Abbas,Biennial
Haris Epaminonda,Biennial
Jonathas de Andrade,Biennial
Juan Araujo,Biennial
Lani Maestro,Biennial
Larissa Sansour,Biennial
Lili Dujourie,Biennial
Maha Maamoun,Biennial
Maider López,Biennial
Mariam Ghani,Biennial
Michael Rakowitz,Biennial
Moataz Nasr,Biennial
Mona Hatoum,Biennial
N.S. Harsha,Biennial
Nida Sinnokrot,Biennial
Nika Oblak,Biennial
Primož Novak,Biennial
Sharif Waked,Biennial
Taus Makhacheva,Biennial
Valeska Soares,Biennial
Sirine Fattouh,Biennial of Contemporary Art in Bourges
Başak Ertür,Birkbeck College
Eyal Weizman,Birkbeck College
Adila Laidi-Hanieh,Birzeit University
Khalil Rabah,Birzeit University
Rula Halawani,Birzeit University
Yazan Khalili,Birzeit University
Shiro Takatani,Biwako Hall Center
Shilpa Gupta,Blandy-les-Tours
Valeska Soares,Blanton Museum of Art
Kassab Bachi,BM
Abdulnasser Al-Amri,BMG Foundation
Ghada Al-Hassan,BMG Foundation
Sophie Ernst,BMW
Theo Eshetu,Body & Soul
Jane & Louise Wilson,Bombardier
Elizabeth Peyton,Bonnefanten Museum
Meriç Algün Ringborg,Botin Foundation
Saâdane Afif,Bourges School of Fine Arts
Meriç Algün Ringborg,BR
Lara Baladi,Brancolini & Grimaldi Gallery
Naeem Mohaiemen,Brian Boucher
Mona Marzouk,Bride Stripped
Golnaz Fathi,Brighton & Hove Museum
Elena Kovylina,Brigitte Bardot
"Kamarstudios ",Brigitte Perkins
Derek Ogbourne,Brigitte Schenk
Shohreh Mehran,Brigitte Schenk
Ali Jabri,Bristol University
Shadia Alem,British Airways
Ahmad Amin Nazar,British Museum (London)
Ahmed Mater,British Museum (London)
Basmah Felemban,British Museum (London)
Golnaz Fathi,British Museum (London)
Hassan Massoudy,British Museum (London)
Lulwah Al-Homoud,British Museum (London)
Mounir Al-Shaarani,British Museum (London)
Ninar Esber,British Museum (London)
Sarah Al Abdali,British Museum (London)
Shadi Ghadirian,British Museum (London)
Walid Siti,British Museum (London)
Youssef Abdelkė,British Museum (London)
Youssef Nabil,British Museum (London)
"Basir Mahmood ",Broad Museum
Magdi Mostafa,Bronx Museum
Sama Alshaibi,Bronx Museum
Daniel Garcia,Brooklyn Art Council
Rania Attieh,Brooklyn Art Council
Jesper Just,Brooklyn Museum
Pouran-Jinchi,Brooklyn Museum
Doa Aly,Busan Biennale
Heman Chong,Busan Biennale
Liu Wei,Busan Biennale
Moataz Nasr,Busan Biennale
Nika Oblak,Busan International
Primož Novak,Busan International
Hassan Sharif,Byam Shaw School of Art
Mona Hatoum,Byam Shaw School of Art
Eyal Weizman,Cabinet
Fateh Moudarres,Cairo Biennial
Lara Baladi,Cairo Biennial
Moataz Nasr,Cairo Biennial
Youssef Abdelkė,Cairo Biennial
Mai Al Ibrashy,Cairo Cemetery Salvage Project
Mohamed Abdelkarim,Cairo-Documenta
Ahmed El Attar,Cairo International
Waheeda Malullah,Cairo Opera House
Farhad Moshiri,CalArts
"Sille Storihle ",CalArts
Thilo Frank,Calder Saché
Doris Bittar,California Arts Council
Harrell Fletcher,California College of the Arts
Sherin Guirguis,California Community Foundation
Farhad Moshiri,California Institute of the Arts
Tiffany Chung,California State University
Golnaz Fathi,Calligraphy Association of Iran
Alberto Duman,Camberwell College of Art
Simon Fujiwara,Cambridge University
"Haroon Mirza ",Camden Arts Centre
Sherif El Azma,Camden Arts Centre
Yuk King Tan,Camden Arts Centre
Manal Al Dowayan,Camille Zakharia
Mona Marzouk,Canary Islands Biennale
Agnes Janich,Can Serrat International
Ahmed Alsoudani,Canvas Magazine
Melissa Chimera,Capital One
Carlos  Amorales,Carlos Amorales
Yang Fudong,Carnegie International
Wafaa Bilal,Carnegie Mellon School of Art
Golnaz Fathi,Carnegie Mellon University
Kassab Bachi,Carnegie Museum of Art
Rika Noguchi,Carnegie Museum of Art
Trisha Donnelly,Carnegie Museum of Art
Lamia Joreige,Carpenter Center
Bahar Behbahani,Carrie Springer
Jawad Al Malhi,Cartier
Hiroyuki Masuyama,Caspar David Friedrich
Ramin Haerizadeh,Cassia Assia
Youssef Nabil,Catherine Deneuve
Meriç Algün Ringborg,CCA
Ayreen Anastas,CCA Glasgow
Meriç Algün Ringborg,CCA Wattis Institute
Meriç Algün Ringborg,Cecilia Widenheim
Zhang Hui,Central Drama Academy
David Spriggs,Central Saint Martins College of Art and Design
Lamya Gargash,Central Saint Martins School of Art
Samah Hijawi,Central Saint Martins School of Art
Lulwah Al-Homoud,Central St Martins College of Art
Doa Aly,Centre d'Art Contemporain
Mouna Karray,Centre d’Art Vivant at Rades (Tunisia)
Eyal Weizman,Centre for Research Architecture
Yazan Khalili,Centre for Research Architecture
Ahmed Mater,Centre Pompidou (Paris)
Akram Zaatari,Centre Pompidou (Paris)
Alexandar Ugay,Centre Pompidou (Paris)
"Angelica Mesiti ",Centre Pompidou (Paris)
Anri Sala,Centre Pompidou (Paris)
"Basim Magdy ",Centre Pompidou (Paris)
Bjørn Melhus,Centre Pompidou (Paris)
Carsten Höller,Centre Pompidou (Paris)
Edward Said,Centre Pompidou (Paris)
Fouad Elkoury,Centre Pompidou (Paris)
Hans Haacke,Centre Pompidou (Paris)
Ismaïl Bahri,Centre Pompidou (Paris)
Liu Wei,Centre Pompidou (Paris)
Melik Ohanian,Centre Pompidou (Paris)
Mona Hatoum,Centre Pompidou (Paris)
mounir fatmi,Centre Pompidou (Paris)
Nil Yalter,Centre Pompidou (Paris)
Omar Berrada,Centre Pompidou (Paris)
Rabih Mroué,Centre Pompidou (Paris)
Reem Al Ghaith,Centre Pompidou (Paris)
Shimabuku,Centre Pompidou (Paris)
Steve Reinke,Centre Pompidou (Paris)
Yazid Oulab,Centre Pompidou (Paris)
Yto Barrada,Centre Pompidou (Paris)
Ziad Antar,Centre Pompidou (Paris)
Zineb Sedira,Centre Pompidou (Paris)
Yuko Hasegawa,Century
Kazuyo Sejima,Century Museum of Contemporary Art
Yuko Hasegawa,Century Museum of Contemporary Art
Zbyněk Baladrán,Chamber of Public Secrets
Shiro Takatani,Chambre Claire
Doa Aly,Chang Tsong-zung
Dirk Fleischmann,Charles Lim
Yusef A. Lateef,Charles Mingus
Ahmad Morshedloo,Chelsea Art Museum
Ala Ebtekar,Chelsea Art Museum
Leila Pazooki,Chelsea Art Museum
Nikolaj Bendix,Chelsea College of Art
Haris Epaminonda,Chelsea College of Art and Design
"Haroon Mirza ",Chelsea College of Art and Design
Maider López,Chelsea College of Art and Design
Rana Begum,Chelsea College of Art and Design
Panos Tsagaris,Chelsea Hotel
Dirk Fleischmann,Cheongju University
Chai Siri,Chiang Mai University
Romeo Castellucci,Chiara Guidi
N.S. Harsha,Chicago Cultural Center
Wafaa Bilal,Chicago Tribune
Liu Wei,China Academy of Art
Wang Jianwei,China Academy of Art
Yang Fudong,China Academy of Art
Waheeda Malullah,China International
Jun Yang,Chiyoda
Doa Aly,Chris Dercon
Steve Reinke,Chris Gehman
Abdelkader Benchamma,Christian Bernard
Kazuyo Sejima,Christian Dior
Ammar Bouras,Christian Lecompte
Monika Börgmann,Christian Phalange
Eva Meyer-Keller,Christine De Smedt
Jenine Sharabi,Christophers School
Carlos  Amorales,Cincinnati Art Center
Alexander Markov,Cinema and Television
Alexander Markov,Cinema History Department
Rashid Masharawi,Cinema Production Centre
Jawad Al Malhi,Cité
Faisal Samra,Cité International
Jawad Al Malhi,Cité International
Mohamed El Mahdaoui,Cité Internationale des Arts
Mouna Karray,Cite Internationale des Arts (Paris)
Rania Attieh,City College of New York
Rula Halawani,City Museum
Liliana Porter,City University of New York
Mouna Karray,Civitella Ranieri Foundation (Umbria
Ziad Dalloul,Claude Bernard
Shafic Abboud,Claude Monet
Edward Said,Claus Prize
Zena el Khalil,CNN
Jayce Salloum,Coach House Press
Hassan Hajjaj,Coca-Cola
Sherin Guirguis,College of Creative Studies
Adel Abdessemed,College of Fine Art
Ola Hejazi,College of London
Eduardo Terrazas,Columbia University
Edward Said,Columbia University
Iman Issa,Columbia University
Ahmed Alsoudani,Columbus Museum of Art
Lamya Gargash,Communication
Suzanne Cotter,Communication
Heman Chong,Communication Art and Design
Lamya Gargash,Communication Design
David Spriggs,Concordia University
Haig Aivazian,Concordia University
Lani Maestro,Concordia University
Wafa Karsha,Congress
Sam Shalabi,Constellation Records
Giuseppe Moscatello,Contemporanea
Adel Abdessemed,Contemporary
Doa Aly,Contemporary
Meriç Algün Ringborg,Contemporary
Shilpa Gupta,Contemporary
Eungie Joo,Contemporary Art and Multicultural Education
Nil Yalter,Contemporary Art Center
Ninar Esber,Contemporary Art Center
Shilpa Gupta,Contemporary Art Center Cincinnati
Adel Abdessemed,Contemporary Art Centre
Doa Aly,Contemporary Art Forum
Meriç Algün Ringborg,Contemporary Art Gallery
Fumito Urabe,Contemporary Art Museum
Setareh Shahbazi,Contemporary Arts Forum
Musaed Alhulis,Contemporary Islamic Art Exhibition
Gabriela Golder,CONTINENTE Research Center
Shahzia Sikander,Cooper Hewitt National Design
Doug Ashford,Cooper Union
Hans Haacke,Cooper Union
Mariam Ghani,Cooper Union
Rayyane Tabet,Cooper Union
Laurent Grasso,Cooper Union School
Eduardo Terrazas,Cornell University
Murtaza Vali,Cornell University
Amina Menia,Cornerhouse
Imran Qureshi,Corvi Mora
Rashid Masharawi,CPC
Michael Rakowitz,Creative Capital
Jamal Al Kebasi,Creative Design
João Vasco Paiva,Creators Project
Setareh Shahbazi,Crystal Series
Alfredo Aquilizan,Cultural Center
Isabel Aquilizan,Cultural Center
Yuko Hasegawa,Cultural District Authority
Raffie Davtian,Cultural Studies Laboratory
Abdullah Nawawi,Culture
Yuko Hasegawa,Culture Centre
Yusef A. Lateef,Curtis Fuller
Ayreen Anastas,DAAD
Hamra Abbas,DAAD
Hiroyuki Masuyama,DAAD
Jalal Toufic,DAAD
Karin Sander,DAAD
Eduard Puterbrot,Dagestan Museum of Fine Art
Saeed Salem,Daihatsu
N.S. Harsha,Daimler
Meriç Algün Ringborg,Daniel Birnbaum
Rania Attieh,Daniel Garcia
Sean Gullette,Daniel Shore
Rimini Protokoll,Daniel Wetzel
Ahaad Alamoudi,Dar Al Hekma
Maha Al-Khalawi,Dar Al Hekma
Samiah Khashoggi,Dar Al Hekma College
Sarah Al Abdali,Dar Al Hekma College
Hrair Sarkissian,Darat al Funun
Jananne Al-Ani,Darat al Funun
Jumana Emil Abboud,Darat al Funun
Kassab Bachi,Darat al Funun
Rayyane Tabet,Darat al Funun
Doa Aly,Darat Al-Funun
Amino Belyamani,Darek Oles
Sean Gullette,Darren Aronofsky
Panos Tsagaris,Davide Balliano & Panos Tsagaris
Sam Shalabi,David Kristian
Youssef Nabil,David Lachapelle
Heman Chong,David Reinfurt
Marie-Hélène Cauvin,David Rockefeller Center
Julia Meltzer,David Thorne
Bae Young-whan,de Appel Arts Centre
Sahand Hesamiyan,Delfina Entrecanales
Abbas Akhavan,Delfina Foundation
Ammar Al Attar,Delfina Foundation
Jawad Al Malhi,Delfina Foundation
Manal Al Dowayan,Delfina Foundation
Waheeda Malullah,Delfina Foundation
Yazan Khalili,Delfina Foundation
Abbas Akhavan,Delfina Foundation (Dubai
Giuseppe Moscatello,della Sapienza
Samiah Khashoggi,De Montfort College
Sama Alshaibi,Denmark & Helsinki
Ebtisam Abdulaziz,Denmark National Museum
Hatem Imam,Department of Architecture
Mai Al Ibrashy,Department of Architecture
Ala Ebtekar,Department of Art
Edgar Endress,Department of Art
Gulnara Kasmalieva,Department of Graphics
Muratbek Djumaliev,Department of Graphics
Samir Sayegh,"Department of the "
Yazid Oulab,des Abattoirs
Haris Epaminonda,Deste Foundation
Yusef A. Lateef,Detroit Symphony Orchestra
Ala Ebtekar,Deutsche Bank
Amar Kanwar,Deutsche Guggenheim
Matt Saunders,Deutsche Guggenheim
Raqs Media Collective,Devi Art Foundation
Firoz Mahmud,Dhaka University
"Jean-Luc Moulène ",Dia
Ana Torfs,Dia Art Foundation
"Jean-Luc Moulène ",Dia Art Foundation
Liliana Porter,Dia Art Foundation
Ahmed Felemban,Dia Aziz Dia
Maha Al-Khalawi,Dia Aziz Dia
Shadi Ghadirian,DIFC
Fatima Al Qadiri,DIS Magazine
Yusef A. Lateef,Dizzy Gillespie Orchestra
Jem Cohen,DJ Rupture
Gulnara Kasmalieva,Djumaliev
Yuko Hasegawa,DNA
