Source,Target
Andreas Gursky,Austria
"Basim Magdy ",Austria
Carsten Höller,Austria
David Claerbout,Austria
Hiroyuki Masuyama,Austria
"Jean-Luc Moulène ",Austria
Khaled Jarrar,Austria
Marcel Odenbach,Austria
Mario Rizzi,Austria
mounir fatmi,Austria
Nevin Aladag,Austria
Nida Sinnokrot,Austria
Nika Oblak,Austria
Primož Novak,Austria
Raeda Saadeh,Austria
Rashid Masharawi,Austria
Runa Islam,Austria
Ryoji Ikeda,Austria
Shilpa Gupta,Austria
Susan Hefuna,Austria
Thilo Frank,Austria
Thomas Demand,Austria
Walid Raad,Austria
Walid Siti,Austria
Marcel Odenbach,Austrian
Rashid Masharawi,Austrian
Omar Rajeh,Autumn Dance
Romeo Castellucci,Avignon
Niyaz-Azadikhah,Azadikhah
Hamra Abbas,Azerbaijan
Yusef A. Lateef,Babatunde
Adel Abidin,Baghdad
Ahmed Alsoudani,Baghdad
Dia Al-Azzawi,Baghdad
Doris Bittar,Baghdad
Hassan Massoudy,Baghdad
Hayv Kahraman,Baghdad
Jalal Toufic,Baghdad
Jamal Al Kebasi,Baghdad
Samira Badran,Baghdad
Walid Siti,Baghdad
Wissam Shawkat,Baghdad
Faisal Samra,Bahrain
Jenine Sharabi,Bahrain
Lantian Xie,Bahrain
Marwa Rustam,Bahrain
Shadia Alem,Bahrain
Waheeda Malullah,Bahrain
Zahra Bu Ali,Bahrain
Maalem Abdelkébir Merchane,Bakbou Sam
Hamra Abbas,Baku
Amir H. Fallah,Baltimore
Raed Yassin,Baltimore
Ismaïl Bahri,Bamako
Maha Maamoun,Bamako
Mohamed Bourouissa,Bamako
Mouna Karray,Bamako
Susan Hefuna,Bamako
Youssef Nabil,Bamako
Sheela Gowda,Bangalore
"Apichatpong Weerasethakul ",Bangkok
Chai Siri,Bangkok
Marcel Odenbach,Bangkok
Ninar Esber,Bangkok
Yuko Hasegawa,Bangkok
"Angelica Mesiti ",Barbican
Sulayman Al Bassam,Barbican
Abdelkader Benchamma,Barcelona
Fernando José Pereira,Barcelona
Heman Chong,Barcelona
Kader Attia,Barcelona
Latifa Echakhch,Barcelona
Magdi Mostafa,Barcelona
Maider López,Barcelona
Ryoji Ikeda,Barcelona
Samira Badran,Barcelona
Shiro Takatani,Barcelona
Tiffany Chung,Barcelona
Vartan Avakian,Barcelona
Youssef Nabil,Barcelona
Yuk King Tan,Barcelona
Érik Bullot,Barcelona
Yusef A. Lateef,Barry Harris
Sama Alshaibi,Basra
Wissam Shawkat,Basra
Adel Abdessemed,Batna
Shadia Alem,Bedouin
Ahmad Morshedloo,Beijing
Hu Xiangqian,Beijing
João Vasco Paiva,Beijing
Lee Kit,Beijing
Liu Wei,Beijing
Mariam Ghani,Beijing
Moataz Nasr,Beijing
Olafur Eliasson,Beijing
Wang Jianwei,Beijing
Yang Fudong,Beijing
Yang Shaobin,Beijing
Zhang Hui,Beijing
Atfal Ahdath,beirut
Ahmed Mater,Beirut
Akram Zaatari,Beirut
Ashkan Sepahvand,Beirut
Ayman Baalbaki,Beirut
Ayreen Anastas,Beirut
Basma Al Sharif,Beirut
CAMP,Beirut
Doris Bittar,Beirut
Edward Said,Beirut
Fouad Elkoury,Beirut
Gilbert Hage,Beirut
Jalal Toufic,Beirut
"Joana Hadjithomas ",Beirut
Jorge Tacla,Beirut
Julia Meltzer,Beirut
Kameel Hawa,Beirut
Khalil Joreige,Beirut
Lamia Joreige,Beirut
Lara Baladi,Beirut
Maha Maamoun,Beirut
Marwan Rechmaoui,Beirut
Mohamed Abdelkarim,Beirut
Mona Hatoum,Beirut
Mounira Al Solh,Beirut
Ninar Esber,Beirut
Noura Bouzo,Beirut
Omar Rajeh,Beirut
Pascal Hachem,Beirut
Rabih Mroué,Beirut
Raed Yassin,Beirut
Rasha Salti,Beirut
Saloua Raouda Choucair,Beirut
Samer Omran,Beirut
Samiah Khashoggi,Beirut
Samir Sayegh,Beirut
Setareh Shahbazi,Beirut
Shafic Abboud,Beirut
Sherif El Azma,Beirut
Simone Fattal,Beirut
Sirine Fattouh,Beirut
Tanbak,Beirut
Tony Chakar,Beirut
Vartan Avakian,Beirut
Walid Raad,Beirut
Youssef Abdelkė,Beirut
Zena el Khalil,Beirut
Nika Oblak,Belfast
Primož Novak,Belfast
Fred Eerdekens,Belgian
Almagul Menlibayeva,Belgium
Ana Torfs,Belgium
Carlos  Amorales,Belgium
David Claerbout,Belgium
Fred Eerdekens,Belgium
Gabriel Lester,Belgium
Gulnara Kasmalieva,Belgium
Hrair Sarkissian,Belgium
Jalal Toufic,Belgium
Khaled Jarrar,Belgium
Lili Dujourie,Belgium
Marwan Rechmaoui,Belgium
Melik Ohanian,Belgium
Mohamed Bourouissa,Belgium
Mohamed El Mahdaoui,Belgium
Muratbek Djumaliev,Belgium
Nida Sinnokrot,Belgium
Otobong Nkanga,Belgium
Pascale Marthine Tayou,Belgium
Raqs Media Collective,Belgium
Ravi Agarwal,Belgium
Sheela Gowda,Belgium
"SUPERFLEX ",Belgium
Tarek Halaby,Belgium
Yu-ichi Inoue,Belgium
Derek Ogbourne,Belgrade
Milica Tomić,Belgrade
Pablo Lobato,Belo Horizonte
Sara Ramo,Belo Horizonte
Valeska Soares,Belo Horizonte
Susan Hefuna,Belvedere
Naeem Mohaiemen,Ben Davis
Ismaïl Bahri,Benin
Otobong Nkanga,Benin
Jem Cohen,Benjamin Smoke
Adrian Paci,Bergamo
Jalal Toufic,Bergamo
Latifa Echakhch,Bergamo
Romeo Castellucci,Bergen
Rosalind Nashashibi,Bergen
"Sille Storihle ",Bergen
Ala Ebtekar,Berkeley
Eduardo Terrazas,Berkeley
Eungie Joo,Berkeley
Harun Farocki,Berkeley
Shirin Neshat,Berkeley
Abbas Akhavan,Berlin
Agnes Janich,Berlin
Ahmad Konash,Berlin
Ahmad Morshedloo,Berlin
Ahmed Mater,Berlin
Alfredo Jaar,Berlin
Almagul Menlibayeva,Berlin
Amar Kanwar,Berlin
Ana Torfs,Berlin
Andreas Gursky,Berlin
"Angelica Mesiti ",Berlin
Anri Sala,Berlin
Ashkan Sepahvand,Berlin
Ayreen Anastas,Berlin
Ayşe Erkmen,Berlin
"Basim Magdy ",Berlin
Bjørn Melhus,Berlin
Burak Arikan,Berlin
Carsten Höller,Berlin
Carsten Nicolai,Berlin
David Claerbout,Berlin
Doa Aly,Berlin
Doug Henders,Berlin
Edward Said,Berlin
Elena Kovylina,Berlin
Eva Meyer-Keller,Berlin
Fernando José Pereira,Berlin
Firoz Mahmud,Berlin
Gilbert Hage,Berlin
Haleh Redjaian,Berlin
Hamra Abbas,Berlin
Hani Alireza,Berlin
Hans Haacke,Berlin
Haris Epaminonda,Berlin
Harun Farocki,Berlin
Haytham el Wardany,Berlin
Hayv Kahraman,Berlin
Idris Khan,Berlin
Iman Issa,Berlin
Jalal Toufic,Berlin
Kader Attia,Berlin
Karim Aïnouz,Berlin
Karin Sander,Berlin
Kassab Bachi,Berlin
Leila Pazooki,Berlin
Maha Maamoun,Berlin
Manal Al Dowayan,Berlin
Marcel Odenbach,Berlin
Mario Rizzi,Berlin
Marwan Kassab Bachi,Berlin
Matt Saunders,Berlin
Melik Ohanian,Berlin
Meriç Algün Ringborg,Berlin
Mona Hatoum,Berlin
Mounira Al Solh,Berlin
N.S. Harsha,Berlin
Nevin Aladag,Berlin
Olafur Eliasson,Berlin
Pablo Lobato,Berlin
Panos Tsagaris,Berlin
Rabih Mroué,Berlin
Raed Yassin,Berlin
Raeda Saadeh,Berlin
Rika Noguchi,Berlin
Romeo Castellucci,Berlin
Ryoji Ikeda,Berlin
Samira Badran,Berlin
Saâdane Afif,Berlin
Setareh Shahbazi,Berlin
Shahzia Sikander,Berlin
Sharif Waked,Berlin
Sherif El Azma,Berlin
Shimabuku,Berlin
Simon Fujiwara,Berlin
Sophie Ernst,Berlin
Susan Hefuna,Berlin
Tarek Atoui,Berlin
Taysir Batniji,Berlin
Thilo Frank,Berlin
Thomas Demand,Berlin
Thomas Werner,Berlin
Tintin Wulia,Berlin
Trisha Donnelly,Berlin
Wael Shawky,Berlin
Walid Raad,Berlin
Yang Shaobin,Berlin
Yto Barrada,Berlin
Marwan Rechmaoui,Bern
Ravi Agarwal,Bern
Yang Shaobin,Bern
Ayreen Anastas,Bethlehem
Edward Said,Bethlehem
Meriç Algün Ringborg,Bettina Pehrsson
Fouad Elkoury,Beyrouth
Dirk Fleischmann,Bielefeld
Iman Issa,Bielefeld
Maider López,Bilbao
Rika Noguchi,Bilbao
Moayad Hakim,Billings
Ayşe Erkmen,Birmingham
Idris Khan,Birmingham
Rasheed Araeen,Birmingham
Aras Özgün,Black Sea
Lulwah Al-Homoud,Black Square
Mohamed Bourouissa,Blida
Claudia Joskowicz,Bolivia
Haris Epaminonda,Bologna
Romeo Castellucci,Bologna
Ebtisam Abdulaziz,Bonn
Monika Börgmann,Bonn
Setareh Shahbazi,Bonn
Youssef Nabil,Bonn
Fayçal Baghriche,Bordeaux
Shimabuku,Bordeaux
Yonamine,Bordeaux
Nika Oblak,Bosnia
Primož Novak,Bosnia
Sharif Waked,Bosnia
Jane & Louise Wilson,Bosnian
Carsten Höller,Boston
Hamra Abbas,Boston
Kader Attia,Boston
Lara Favaretto,Boston
Oraib Toukan,Boston
Pouran-Jinchi,Boston
Raqs Media Collective,Boston
Tintin Wulia,Boston
Nika Oblak,Box
Primož Novak,Box
Agnes Janich,Bratislava
Khaled Jarrar,Bratislava
Mohamed Abdelkarim,Bratislava
Abdulhalim Radwi,Brazil
Abdullah Al Saadi,Brazil
Ali Essafi,Brazil
Ana Vidigal,Brazil
"Angelica Mesiti ",Brazil
Arefeh Riahi,Brazil
Carsten Höller,Brazil
Gabriela Golder,Brazil
Işıl Eğrikavuk,Brazil
Jessica Mein,Brazil
Juan Araujo,Brazil
Khaled Sabsabi,Brazil
Luz Maria Bedoya,Brazil
"Lúcia Koch ",Brazil
Marcel Odenbach,Brazil
Marwan Rechmaoui,Brazil
Moataz Nasr,Brazil
Mohamed Bourouissa,Brazil
Monir Shahroudy Farmanfarmaian,Brazil
Pablo Lobato,Brazil
Roberto Bellini,Brazil
Sara Ramo,Brazil
Shimabuku,Brazil
Simon Fujiwara,Brazil
"SUPERFLEX ",Brazil
Thomas Demand,Brazil
Valeska Soares,Brazil
Wang Jianwei,Brazil
Yang Shaobin,Brazil
Yonamine,Brazil
Yu-ichi Inoue,Brazil
Yuko Hasegawa,Brazil
Zineb Sedira,Brazil
Karim Aïnouz,Brazilian
"Lúcia Koch ",Brazilian
Valeska Soares,Brazilian
Yuko Hasegawa,Brazilian
Ana Torfs,Bremen
Marcel Odenbach,Bremen
Naeem Mohaiemen,Brian Boucher
Mona Marzouk,Bride Stripped
Gulnara Kasmalieva,Bridge
Muratbek Djumaliev,Bridge
Elena Kovylina,Brigitte Bardot
"Kamarstudios ",Brigitte Perkins
Derek Ogbourne,Brigitte Schenk
Shohreh Mehran,Brigitte Schenk
Alfredo Aquilizan,Brisbane
"Basir Mahmood ",Brisbane
Cevdet Erek,Brisbane
"Charwei Tsai ",Brisbane
Imran Qureshi,Brisbane
Isabel Aquilizan,Brisbane
Lani Maestro,Brisbane
Tiffany Chung,Brisbane
Yang Fudong,Brisbane
Doa Aly,Bristol
Hala Elkoussy,Bristol
Andreas Gursky,Britain
Aras Özgün,Britain
Jananne Al-Ani,Britain
Mona Hatoum,Britain
Raqs Media Collective,Britain
Rasheed Araeen,Britain
Reza Aramesh,Britain
Zineb Sedira,Britain
Hassan Sharif,British
Khaled Al-Faisal,British
Muzamil Choudhury,British
Rasheed Araeen,British
Reza Aramesh,British
Barry Doupé,British Columbia
YOVO! YOVO!,Brixen
Ayreen Anastas,Brooklyn
Gulnara Kasmalieva,Brooklyn
Mariam Ghani,Brooklyn
Muratbek Djumaliev,Brooklyn
Murtaza Vali,Brooklyn
Sohrab Mohebbi,Brooklyn
Valeska Soares,Brooklyn
Lulwah Al-Homoud,Brunei
Ana Torfs,Brussels
Ayreen Anastas,Brussels
Carsten Höller,Brussels
David Claerbout,Brussels
Doa Aly,Brussels
Edward Said,Brussels
Fred Eerdekens,Brussels
Gabriel Lester,Brussels
Jalal Toufic,Brussels
Manal Al Dowayan,Brussels
Marwan Rechmaoui,Brussels
Melik Ohanian,Brussels
Meriç Algün Ringborg,Brussels
Mohamed Bourouissa,Brussels
Mouna Karray,Brussels
Nida Sinnokrot,Brussels
Raeda Saadeh,Brussels
Raqs Media Collective,Brussels
Romeo Castellucci,Brussels
Sherif El Azma,Brussels
Slavs and Tatars,Brussels
Tarek Halaby,Brussels
Yu-ichi Inoue,Brussels
Abbas Akhavan,Bucharest
Yazid Oulab,Bucharest
Elias Zayat,Budapest
Andrés Denegri,Buenos Aires
Lara Favaretto,Buenos Aires
Liliana Porter,Buenos Aires
Marcel Odenbach,Buenos Aires
Mariam Ghani,Buffalo
Érik Bullot,Buffalo
Nika Oblak,Bulgaria
Primož Novak,Bulgaria
Susan Hefuna,Bulgaria
Ismaïl Bahri,Busan
Lani Maestro,Busan
Larissa Sansour,Busan
Nika Oblak,Busan
Primož Novak,Busan
Rula Halawani,Busan
Ala Ebtekar,CA
Sherin Guirguis,CA
"Apichatpong Weerasethakul ",Cactus River
"Kamarstudios ",Caen
Lani Maestro,Caen
Alfredo Aquilizan,Cagayan Valley
Ahmed El Attar,Cairo
Ali Jabri,Cairo
Angela Harutyunyan,Cairo
Anna Boghiguian,Cairo
Ayman Ramadan,Cairo
"Basim Magdy ",Cairo
Djamel Kokene,Cairo
Doa Aly,Cairo
Elias Zayat,Cairo
Fahd Al-Hijilan,Cairo
Firoz Mahmud,Cairo
Fouad Elkoury,Cairo
Hala Elkoussy,Cairo
Hanan Abdullah Bahamdan,Cairo
Haytham el Wardany,Cairo
Huda Lutfi,Cairo
Ibrahim Abumsmar,Cairo
Iman Issa,Cairo
Judith Barry,Cairo
Lamia Joreige,Cairo
Lara Baladi,Cairo
Magdi Mostafa,Cairo
Maha Maamoun,Cairo
Mahmoud Refat,Cairo
Mai Al Ibrashy,Cairo
Moataz Nasr,Cairo
Moayad Hakim,Cairo
Mohamed Abdelkarim,Cairo
Mona Marzouk,Cairo
Monika Börgmann,Cairo
Mounir Al-Shaarani,Cairo
Nadia Ayari,Cairo
Nil Yalter,Cairo
Ninar Esber,Cairo
Raafat Ishak,Cairo
Raeda Ashour,Cairo
Safeya Binzagr,Cairo
Sama Alshaibi,Cairo
Samira Badran,Cairo
Setareh Shahbazi,Cairo
Sherif El Azma,Cairo
Sherin Guirguis,Cairo
Sophia Al Maria,Cairo
Soraya Darwish,Cairo
Susan Hefuna,Cairo
Waheeda Malullah,Cairo
Youssef Nabil,Cairo
Thilo Frank,Calder Saché
David Spriggs,Calgary
Marilou Lemmens,Calgary
Richard Ibghy,Calgary
Ala Ebtekar,California
Ali Jabri,California
Amir H. Fallah,California
Ayman Ramadan,California
Bae Young-whan,California
CAMP,California
Carlos  Amorales,California
Carsten Höller,California
"Charwei Tsai ",California
David Claerbout,California
Doris Bittar,California
Eduardo Terrazas,California
Graziella Rizkallah Toufic,California
Latifa Echakhch,California
Lawrence Weiner,California
Maha Maamoun,California
Mohammed Al Ghamdi,California
Runa Islam,California
Shahzia Sikander,California
Sherin Guirguis,California
Shimabuku,California
Simon Fujiwara,California
Simone Fattal,California
Tiffany Chung,California
Valeska Soares,California
Taus Makhacheva,Calvert
Ayreen Anastas,Cambridge
Burak Arikan,Cambridge
Jayce Salloum,Cambridge
José Luis Martinat,Cambridge
Lamia Joreige,Cambridge
Marie-Hélène Cauvin,Cambridge
Rashid Masharawi,Cambridge
Pascale Marthine Tayou,Cameroon
Manal Al Dowayan,Camille Zakharia
Ayreen Anastas,Camp Campaign
Jawad Al Malhi,camp Shuafat
Abbas Akhavan,Canada
Ahmad Konash,Canada
Ahmed Foula,Canada
Andreas Gursky,Canada
Anri Sala,Canada
Arwa Abouon,Canada
CAMP,Canada
Dan Brault,Canada
David Spriggs,Canada
Haig Aivazian,Canada
Jayce Salloum,Canada
Khaled Sabsabi,Canada
Lani Maestro,Canada
Lawrence Weiner,Canada
Nil Yalter,Canada
Noma Omran,Canada
Panos Tsagaris,Canada
Runa Islam,Canada
Ryoji Ikeda,Canada
Simon Fujiwara,Canada
Zahra Bu Ali,Canada
Jayce Salloum,Canadian
Zahra Bu Ali,Canadian
Abbas Kiarostami,Cannes
"Apichatpong Weerasethakul ",Cannes
"Joana Hadjithomas ",Cannes
Karim Aïnouz,Cannes
Khalil Joreige,Cannes
Pouya Parsamagham,Cannes
Hasan and Husain Essop,Cape Town
Susan Hefuna,Cape Town
Juan Araujo,Caracas
Alberto Duman,Cardiff
Luz Maria Bedoya,Caribbean
Carlos  Amorales,Carlos Amorales
Bahar Behbahani,Carrie Springer
Abdelfattah Kilito,Casablanca
Amino Belyamani,Casablanca
Driss Ouadahi,Casablanca
mounir fatmi,Casablanca
Omar Berrada,Casablanca
Waheeda Malullah,Casablanca
Hiroyuki Masuyama,Caspar David Friedrich
Ramin Haerizadeh,Cassia Assia
Youssef Nabil,Catherine Deneuve
Ayreen Anastas,CCA Glasgow
Meriç Algün Ringborg,Cecilia Widenheim
Iman Raad,central Asia
Gulnara Kasmalieva,Central Asia
Muratbek Djumaliev,Central Asia
Gulnara Kasmalieva,Central Asian
Muratbek Djumaliev,Central Asian
Slavs and Tatars,Central Asians
Agnes Janich,Central European
Mohamed Bourouissa,Central Farming
Eduard Puterbrot,Central House
Jenine Sharabi,Central Saint
Laurent Grasso,Central Saint
Noura Bouzo,Central Saint
Shinichiro Ogata,central Tokyo
Latifa Echakhch,Cergy
Ninar Esber,Cergy
Sirine Fattouh,Cergy
Shiro Takatani,Chambre Claire
