target,source,group,long,lat
ICA,Reza Aramesh,2,NA,NA
ICA,Iman Issa,2,NA,NA
Iceland,Ninar Esber,1,-19.02084,64.96305
Idaho,Asad Faulwell,1,-114.742,44.0682
Illinois,Jalal Toufic,1,-89.39853,40.63312
Illinois,Haroon Mirza ,1,-89.39853,40.63312
Illinois,Ayman Ramadan,1,-89.39853,40.63312
Illinois,Işıl Eğrikavuk,1,-89.39853,40.63312
Illinois,Wafaa Bilal,1,-89.39853,40.63312
IMA,Jilali Gharbaoui,2,NA,NA
Imperial Court of Japan,Mohanna Durra,2,NA,NA
Imperial War Museum,Rosalind Nashashibi,2,NA,NA
Imperial War Museum,Walid Siti,2,NA,NA
Imperial War Museum,Larissa Sansour,2,NA,NA
India,Ismail al-Shaikhly,1,78.96288,20.59368
India,Raqs Media Collective,1,78.96288,20.59368
India,Khalid al-Jader,1,78.96288,20.59368
India,Maalem Abdelkébir Merchane,1,78.96288,20.59368
India,Lulwah Al-Homoud,1,78.96288,20.59368
India,N.S. Harsha,1,78.96288,20.59368
India,CAMP,1,78.96288,20.59368
India,Ahmed Cherkaoui,1,78.96288,20.59368
India,Amar Kanwar,1,78.96288,20.59368
India,Shadi Ghadirian,1,78.96288,20.59368
India,Murtaza Vali,1,78.96288,20.59368
India,Aisha Khalid,1,78.96288,20.59368
India,Shahpour Pouyan,1,78.96288,20.59368
Indian,CAMP,3,NA,NA
Indian,Amar Kanwar,3,NA,NA
Indian,N.S. Harsha,3,NA,NA
Indian,Leila Fatemi,3,NA,NA
Indo,Shahzia Sikander,3,NA,NA
Indonesia,Wafaa Bilal,1,113.9213,-0.789275
Indonesia,Firoz Mahmud,1,113.9213,-0.789275
Indus Valley School of Art,Mohamed Abdelkarim,2,NA,NA
Innsbruck,Lawrence Abu Hamdan ,1,11.4041,47.26921
Institut du Monde Arabe,Adel Abidin,2,NA,NA
Institut du Monde Arabe,Farid Belkahia,2,NA,NA
Institut du Monde Arabe,Fouad Elkoury,2,NA,NA
Institut du Monde Arabe,Fateh Moudarres,2,NA,NA
Institut du Monde Arabe,Jumana Emil Abboud,2,NA,NA
Institut du Monde Arabe,Mohammed Melehi,2,NA,NA
Institut du Monde Arabe,Mona Saudi,2,NA,NA
Institut du Monde Arabe,Taysir Batniji,2,NA,NA
Institut du Monde Arabe,Rula Halawani,2,NA,NA
Institut du Monde Arabe,Ziad Dalloul,2,NA,NA
Institut du Monde Arabe,Georges Sabbagh,2,NA,NA
Institut du Monde Arabe,Faisal Samra,2,NA,NA
Institut du Monde Arabe,Jilali Gharbaoui,2,NA,NA
Institut du Monde Arabe (Paris),Youssef Nabil,2,NA,NA
Institut National des Beaux-Arts de Tétouan,Mohamed El Mahdaoui,2,NA,NA
Institute of Art Education,Hamed Owais,2,NA,NA
Institute of Contemporary Art,Gilbert Hage,2,NA,NA
Institute of Contemporary Arts,Iman Issa,2,NA,NA
Institute of Fine Art,Atta Sabri,2,NA,NA
Institute of Fine Art,Mohammed Ghani Hikmat,2,NA,NA
Institute of Fine Art,Faiq Hassan,2,NA,NA
Institute of Fine Art,Khalid al-Jader,2,NA,NA
Institute of Fine Art,Ismail al-Shaikhly,2,NA,NA
Institute of Fine Arts,Salim al-Dabbagh,2,NA,NA
Institute of Fine Arts,Walid Siti,2,NA,NA
Institute of Fine Arts,Khalid al-Jader,2,NA,NA
Institute of Fine Arts,Dia Al-Azzawi ,2,NA,NA
Institute of Fine Arts,Firoz Mahmud,2,NA,NA
Institute of Modern Art,Robert MacPherson,2,NA,NA
Institute of Philosophy,Shahpour Pouyan,2,NA,NA
Inter-Society for the Electronic Arts,Wafaa Bilal,2,NA,NA
International Academy of Art,Khaled Hourani,2,NA,NA
International Academy of Art Palestine,Sliman Mansour,2,NA,NA
International Academy of Art Palestine,Yazan Khalili,2,NA,NA
International Academy of Art Palestine,Khaled Jarrar,2,NA,NA
International Center of Photography,Yto Barrada,2,NA,NA
International Center of Photography,Ghada Khunji,2,NA,NA
International Center of Photography,Maha Maamoun,2,NA,NA
International Center of Photography,Doa Aly,2,NA,NA
International Centre of Photography,Yto Barrada,2,NA,NA
International Moscow Biennale for Young Art,Meriç Algün Ringborg ,2,NA,NA
Iran,Elnaz Farajollahi,1,53.68805,32.42791
Iran,Nastaran Safaei,1,53.68805,32.42791
Iran,Haleh Redjaian,1,53.68805,32.42791
Iran,Leila Pazooki,1,53.68805,32.42791
Iran,Bahman Kiarostami,1,53.68805,32.42791
Iran,Ramin Haerizadeh,1,53.68805,32.42791
Iran,Shohreh Mehran,1,53.68805,32.42791
Iran,Aneh Mohammad Tatari,1,53.68805,32.42791
Iran,Ramtin Zad,1,53.68805,32.42791
Iran,Babak Golkar,1,53.68805,32.42791
Iran,Darvish Fakhr,1,53.68805,32.42791
Iran,Ahmad Morshedloo,1,53.68805,32.42791
Iran,Amir H. Fallah,1,53.68805,32.42791
Iran,Negin Ganjavi,1,53.68805,32.42791
Iran,Ala Ebtekar,1,53.68805,32.42791
Iran,Mostafa Darehbaghi,1,53.68805,32.42791
Iran,Pantea Rahmani,1,53.68805,32.42791
Iran,Bita Fayyazi,1,53.68805,32.42791
Iran,Bahman Mohassess,1,53.68805,32.42791
Iran,Marwa Rustam,1,53.68805,32.42791
Iran,Raana-Farnoud,1,53.68805,32.42791
Iran,Sahand Hesamiyan,1,53.68805,32.42791
Iran,Javad Azimi,1,53.68805,32.42791
Iran,Farshid Maleki,1,53.68805,32.42791
Iran,Reza Aramesh,1,53.68805,32.42791
Iran,Morteza Ahmadvand,1,53.68805,32.42791
Iran,Kamran Shirdel,1,53.68805,32.42791
Iran,Golnaz Fathi,1,53.68805,32.42791
Iran,Mohsen Ahmadvand,1,53.68805,32.42791
Iran,Farhad Moshiri,1,53.68805,32.42791
Iran,Shahrzad Changalvaee,1,53.68805,32.42791
Iran,Monir Shahroudy Farmanfarmaian,1,53.68805,32.42791
Iran,Mohamad Rahimi,1,53.68805,32.42791
Iran,Shahriar Ahmadi,1,53.68805,32.42791
