source,group,target,lat,long
Ahmad Ghossein,1,Denmark,10.3333283,55.670249
Ahmad Konash,1,Berlin,13.3888599,52.5170365
Ahmad Konash,1,Canada,-107.9917071,61.0666922
Ahmad Konash,1,Vancouver,-123.1139383,49.2608944
Ahmad Morshedloo,1,Beijing,116.3913489,39.9059093
Ahmad Morshedloo,1,Berlin,13.3888599,52.5170365
Ahmad Morshedloo,1,Iran,52.9471344,32.9407496
Ahmad Morshedloo,1,London,-0.1276474,51.5073219
Ahmad Morshedloo,1,Middle East,34.9773963,32.1862164
Ahmad Morshedloo,1,Milan,9.1905368,45.466797
Ahmad Morshedloo,1,New York,-73.9865812,40.7305991
Ahmad Morshedloo,1,North-East,-99.5873816,41.7370229
Ahmad Morshedloo,1,Teheran,51.4214589,35.6865107
Ahmad Osman,1,Alexandria,29.8943785,31.1990035
Ahmad Osman,1,Aswan,32.8973065,24.0910711
Ahmad Osman,1,Cairo,31.2436663,30.0488185
Ahmad Osman,1,Doha,51.5759155776,25.34403115
Ahmad Osman,1,Egypt,29.2675469,26.2540493
Ahmad Osman,1,Eneiba,,
Ahmad Osman,1,Florence,11.2555757,43.7698712
Ahmad Osman,1,Garden,-73.993550178,40.7505247
Ahmad Osman,1,Memphis,-90.0516285,35.1490215
Ahmad Osman,1,Palestine,35.0015196,30.8760272
Ahmad Osman,1,Paris,2.3521334,48.8565056
Ahmad Osman,1,Rome,12.4830718,41.8933439
Ahmad Osman,1,Temple,-97.3427847,31.098207
Ahmed Alsoudani,1,Baghdad,44.3787992,33.3024248
Ahmed Alsoudani,1,Doha,51.5759155776,25.34403115
Ahmed Alsoudani,1,Iraq,44.1749775,33.0955793
Ahmed Alsoudani,1,London,-0.1276474,51.5073219
Ahmed Alsoudani,1,Middle East,34.9773963,32.1862164
Ahmed Alsoudani,1,New York,-73.9865812,40.7305991
Ahmed Alsoudani,1,Qatar,51.2295295,25.3336984
Ahmed Cherkaoui,1,Beaumont,-94.1018461,30.0860459
Ahmed Cherkaoui,1,Casablanca,-7.6176293,33.5939157
Ahmed Cherkaoui,1,Europe,9.9999997,51.0000003
Ahmed Cherkaoui,1,India,78.6677428,22.3511148
Ahmed Cherkaoui,1,Morocco,-7.3366043,31.1728192
Ahmed Cherkaoui,1,New Delhi,77.2159562,28.6138967
Ahmed Cherkaoui,1,North Africa,-2.227736,13.4526455
Ahmed Cherkaoui,1,Paris,2.3521334,48.8565056
Ahmed Cherkaoui,1,Rabat,-6.8390357,34.0223602
Ahmed Cherkaoui,1,Tangier,-75.9916035,37.8262373
Ahmed Cherkaoui,1,Warsaw,21.0067265,52.2319237
Ahmed Cherkaoui,1,Western Modern,-91.5062209,41.636303
Ahmed El Attar,1,America,5.9660692821,51.44770365
Ahmed El Attar,1,Cairo,31.2436663,30.0488185
Ahmed El Attar,1,Chevening,0.1346404,51.2972452
Ahmed El Attar,1,Paris,2.3521334,48.8565056
Ahmed El Attar,1,UK,-3.2765753,54.7023545
Ahmed Felemban,1,Italy,12.674297,42.6384261
Ahmed Felemban,1,Jeddah,39.1640396,21.5822247
Ahmed Felemban,1,Makkah,39.8209897,21.4228632
Ahmed Foula,1,Alexandria,29.8943785,31.1990035
Ahmed Foula,1,Canada,-107.9917071,61.0666922
Ahmed Foula,1,Egypt,29.2675469,26.2540493
Ahmed Foula,1,Montreal,-73.5912827,45.5224507
Ahmed Foula,1,Sharjah,55.7954410161,25.21749685
Ahmed Mater,1,Abha,42.5043596,18.2164282
Ahmed Mater,1,Beirut,35.47843,33.8959203
Ahmed Mater,1,Berlin,13.3888599,52.5170365
Ahmed Mater,1,Kansas City,-94.5630298,39.0844687
Ahmed Mater,1,Miami,-80.1936589,25.7742658
Ahmed Mater,1,Moulin,-0.6705129877,47.779048
Ahmed Mater,1,New York,-73.9865812,40.7305991
Ahmed Mater,1,Paris,2.3521334,48.8565056
Ahmed Mater,1,Saudi Arabia,42.3528328,25.6242618
Ahmed Mater,1,Sharjah,55.7954410161,25.21749685
Ahmed Mater,1,Tabuk,37.333333,27.5
Ahmed Mater,1,Tokyo,139.5103950735,35.69004135
Ahmed Tayseer Badrah,1,Jeddah,39.1640396,21.5822247
Ahmed Tayseer Badrah,1,Malaysia,112.8471939,2.3923759
Aisha Khalid,1,Amsterdam,4.8979956034,52.374436
Aisha Khalid,1,India,78.6677428,22.3511148
Aisha Khalid,1,Lahore,74.3228517,31.5621916
Aisha Khalid,1,Pakistan,71.247499,30.3308401
Aisha Khalid,1,UK,-3.2765753,54.7023545
Aisha Khalid,1,US,-100.4458825,39.7837304
Akram Zaatari,1,Beirut,35.47843,33.8959203
Akram Zaatari,1,Hamburg,10.0099133,53.5437641
Akram Zaatari,1,Middle East,34.9773963,32.1862164
Akram Zaatari,1,Munich,11.5754815,48.1372719
