target,source,group,lat,long
Beijing,Mariam Ghani,1,116.4074,39.90421
Beirut,Walid Raad,1,35.49548,33.88863
Beirut,Lawrence Abu Hamdan ,1,35.49548,33.88863
Beirut,Noura Bouzo,1,35.49548,33.88863
Beirut,Fouad Elkoury,1,35.49548,33.88863
Beirut,CAMP,1,35.49548,33.88863
Beirut,Simone Fattal,1,35.49548,33.88863
Beirut,Kameel Hawa,1,35.49548,33.88863
Beirut,Gilbert Hage,1,35.49548,33.88863
Beirut,Maha Maamoun,1,35.49548,33.88863
Beirut,Marwan Rechmaoui,1,35.49548,33.88863
Beirut,Ayman Baalbaki,1,35.49548,33.88863
Beirut,Daoud Corm,1,35.49548,33.88863
Beirut,Ayreen Astas,1,35.49548,33.88863
Beirut,bil has,1,35.49548,33.88863
Beirut,Basma Al Sharif,1,35.49548,33.88863
Beirut,Joa Hadjithomas ,1,35.49548,33.88863
Beirut,Rasha Salti,1,35.49548,33.88863
Beirut,Mounira Al Solh,1,35.49548,33.88863
Beirut,Ze el Khalil,1,35.49548,33.88863
Beirut,Sirine Fattouh,1,35.49548,33.88863
Beirut,Mohamed Abdelkarim,1,35.49548,33.88863
Beirut,Ahmed Mater,1,35.49548,33.88863
Beirut,Raed Yassin,1,35.49548,33.88863
Beirut,Khalil Joreige,1,35.49548,33.88863
Beirut,Tanbak,1,35.49548,33.88863
Beirut,Ashkan Sepahvand,1,35.49548,33.88863
Beirut,Mo Saudi,1,35.49548,33.88863
Beirut,Samer Omran,1,35.49548,33.88863
Beirut,Setareh Shahbazi,1,35.49548,33.88863
Beirut,Georges Daoud Corm,1,35.49548,33.88863
Beirut,Omar Rajeh,1,35.49548,33.88863
Beirut,Lara Baladi,1,35.49548,33.88863
Beirut,Samiah Khashoggi,1,35.49548,33.88863
Beirut,Samir Sayegh,1,35.49548,33.88863
Beirut,Akram Zaatari,1,35.49548,33.88863
Beirut,Saloua Raouda Choucair,1,35.49548,33.88863
Beirut,Tony Chakar,1,35.49548,33.88863
Beirut,Jalal Toufic,1,35.49548,33.88863
Beirut,Mo Hatoum,1,35.49548,33.88863
Beirut,C├⌐sar Gemayel,1,35.49548,33.88863
Beirut,Pascal Hachem,1,35.49548,33.88863
Beirut,Joa Hadjithomas and Khalil Joreige,1,35.49548,33.88863
Beirut,Rabih Mrou├⌐,1,35.49548,33.88863
Beirut,Shafic Abboud,1,35.49548,33.88863
Beirut,Atfal Ahdath,1,35.49548,33.88863
Beirut,Youssef Abdelk─ù,1,35.49548,33.88863
Beirut,Sherif El Azma,1,35.49548,33.88863
Beirut,Athier,1,35.49548,33.88863
Beirut,Mohammed Ghani Hikmat,1,35.49548,33.88863
Beirut,Marwan Sahmarani,1,35.49548,33.88863
Beirut,Vartan Avakian,1,35.49548,33.88863
Beirut,Nir Esber,1,35.49548,33.88863
Beirut,Jorge Tacla,1,35.49548,33.88863
Beirut,Lamia Joreige,1,35.49548,33.88863
Belgium,Nida Sinnokrot,1,4.469936,50.50389
Belgium,Marwan Rechmaoui,1,4.469936,50.50389
Belgium,Tarek Halaby,1,4.469936,50.50389
Belgium,Jalal Toufic,1,4.469936,50.50389
Belgium,David Claerbout,1,4.469936,50.50389
Belgium,Hrair Sarkissian,1,4.469936,50.50389
Belgium,Almagul Menlibayeva,1,4.469936,50.50389
Belgium,Raqs Media Collective,1,4.469936,50.50389
Belgium,Pantea Rahmani,1,4.469936,50.50389
